마일스톤,트랙 / 저장소,WBS 코드,세부 업무 (Task),산출물 (Deliverables),수행 방법 (Method),시작일,종료일,진행률,Jira 티켓 연동
"","strange_front","M2-FRO-01","실시간 N분할 관제 캔버스 레이아웃 구현 및 웹소켓 데이터 스트림 오버레이 렌더링","Canvas Grid 관제 컴포넌트","프론트","2026-06-09","2026-06-19","0%","SSD-20"
"","strange_front","M2-FRO-02","위협 감지 시각적 토스트(알림), 사이렌 경보 사운드 플레이어 및 실시간 사이드바 경보 이력 컴포넌트 개발","Alert Toast & Sidebar 컴포넌트","프론트","2026-06-20","2026-06-25","0%","SSD-21"
"","strange_front","M2-FRO-03","모바일 웹뷰 대응 모바일 푸시 알림 터치 시 진입하는 랜딩/대처 가이드 상세 UI 페이지 구축","Mobile Detail View 및 대처 가이드 UI","프론트","2026-06-26","2026-06-30","0%","SSD-22"
"M3: 기능 통합 검토","strange_ai","M3-AI-01","NumPy 슬라이딩 윈도우 FIFO 메모리 큐 구현 및 10초 임시 프레임 스택 아카이빙 기능 연동","Memory Buffer Module 소스코드","AI개발","2026-07-01","2026-07-07","0%","SSD-23"
"","strange_ai","M3-AI-02","Edge 단말 추론 리소스 점검 및 프레임 드랍(FPS Jitter) 보정 필터(Kalman Filter) 고도화","엣지 PC 추론 성능 평가 리포트","최적화","2026-07-08","2026-07-14","0%","SSD-24"
"","strange_infra","M3-INF-01","Prometheus + Grafana 통합 인프라 메트릭(CPU, GPU, RAM, MQTT 커넥션) 대시보드 구축","grafana_dashboard.json 및 데이터 연동 설정","모니터링","2026-07-01","2026-07-07","0%","SSD-25"
"","strange_infra","M3-INF-02","Loki / Promtail 로그 수집 인프라 구축을 통한 4대 컴포넌트 실시간 로그 통합 모니터링 세팅","docker-compose.monitoring.yml 명세서","로그수집","2026-07-08","2026-07-14","0%","SSD-26"
"","strange_back","M3-BAC-01","AWS SDK 연동을 통한 FFmpeg 10초 증거 비디오 MP4 트랜스코딩 및 AWS S3 업로드, 90일 만료 수명주기 설정","S3 Archiving Service 및 Lifecycle 설정 파일","백엔드","2026-07-01","2026-07-07","0%","SSD-27"
"","strange_back","M3-BAC-02","날짜, 위협 유형, 카메라 ID 등 조건별 다차원 아카이브 이력 조회 및 비디오 다운로드 REST API 구현","Archive Search Controller API 소스코드","API개발","2026-07-08","2026-07-14","0%","SSD-28"
"","strange_front","M3-FRO-01","위험 이벤트 발생 위치 실시간 표기를 위한 2D CAD 매장 평면도 SVG 매핑 및 동적 애니메이션 핀 렌더링","SVG Floorplan 동적 지도 컴포넌트","프론트","2026-07-01","2026-07-06","0%","SSD-29"
"","strange_front","M3-FRO-02","Daum 주소 OpenAPI 및 행정안전부/유관기관 출동 시스템 모킹 가상 강제 에스컬레이션(112/119 Webhook) 호출 인터페이스","Escalation API 연동 소스코드 및 버튼 컨트롤러","연동","2026-07-07","2026-07-10","0%","SSD-30"
"","strange_front","M3-FRO-03","아카이브 클라우드 동영상 플레이어 및 타임라인 탐색 슬라이더를 포함한 조회 대시보드 개발","Video Player Dashboard 조회 컴포넌트","프론트","2026-07-11","2026-07-14","0%","SSD-31"
"M4: 1차 프로토타입 릴리즈","strange_ai","M4-AI-01","Edge PC 환경에서 실감형 3대 시나리오(낙상, 실신, 폭행) 시뮬레이션 기반 추론 정확도 및 FPS 성능 최종 리포트 작성","AI 모델 최종 검증 및 성능 평증 리포트","보고서","2026-07-15","2026-07-21","0%","SSD-32"
"","strange_infra","M4-INF-01","Edge AI - 백엔드 - 프론트엔드 - DB - MQTT를 포함한 전체 Docker Compose 네트워크 통합 배포 및 TLS 보안 검증","production.yml 배포 명세서 및 SSL 인증 설정","배포","2026-07-15","2026-07-18","0%","SSD-33"
"","strange_infra","M4-INF-02","통합 E2E 테스트 자동화 스크립트 실행 및 전체 시스템의 DoD(완료 정의) 최종 확인 모니터링","E2E 통합 테스트 검증 보고서","테스트","2026-07-19","2026-07-21","0%","SSD-34"
"","strange_back","M4-BAC-01","대량 이벤트 유입 시나리오 대비 백엔드 스트레스 테스트(JMeter) 진행 및 부하 분산(Rate Limiter) 설계 검증","JMeter 부하 테스트 결과 및 처리성능 보고서","테스트","2026-07-15","2026-07-21","0%","SSD-35"
"","strange_front","M4-FRO-01","최종 사용자 시나리오(모바일 알림 -> 대시보드 동기화 -> 2D 맵 핀 확인 -> 119 출동 에스컬레이션)의 최종 사용성 평가 검증","최종 UI/UX 정밀도 및 사용성 검토 보고서","테스트","2026-07-15","2026-07-21","0%","SSD-36"
